="",="(1)",=""
="",="marevm",=""
="1._at # 本人学歴（ref:中学・高校）",="0.00985",="(0.78)"
="1._at # 短大・高専・専門",="0.0617",="(0.82)"
="1._at # 四大以上",="0.000000206",="(0.10)"
="2._at # 本人学歴（ref:中学・高校）",="0.0178",="(0.99)"
="2._at # 短大・高専・専門",="0.0681",="(0.99)"
="2._at # 四大以上",="0.00000124",="(0.12)"
="3._at # 本人学歴（ref:中学・高校）",="0.0298",="(1.29)"
="3._at # 短大・高専・専門",="0.0745",="(1.21)"
="3._at # 四大以上",="0.00000653",="(0.14)"
="4._at # 本人学歴（ref:中学・高校）",="0.0465",="(1.75)"
="4._at # 短大・高専・専門",="0.0811",="(1.51)"
="4._at # 四大以上",="0.0000303",="(0.18)"
="5._at # 本人学歴（ref:中学・高校）",="0.0676",="(2.41)"
="5._at # 短大・高専・専門",="0.0876",="(1.93)"
="5._at # 四大以上",="0.000123",="(0.22)"
="6._at # 本人学歴（ref:中学・高校）",="0.0915",="(3.30)"
="6._at # 短大・高専・専門",="0.0940",="(2.52)"
="6._at # 四大以上",="0.000440",="(0.28)"
="7._at # 本人学歴（ref:中学・高校）",="0.116",="(4.22)"
="7._at # 短大・高専・専門",="0.100",="(3.33)"
="7._at # 四大以上",="0.00138",="(0.37)"
="8._at # 本人学歴（ref:中学・高校）",="0.138",="(4.75)"
="8._at # 短大・高専・専門",="0.106",="(4.32)"
="8._at # 四大以上",="0.00377",="(0.50)"
="9._at # 本人学歴（ref:中学・高校）",="0.155",="(4.85)"
="9._at # 短大・高専・専門",="0.112",="(5.00)"
="9._at # 四大以上",="0.00903",="(0.72)"
="10._at # 本人学歴（ref:中学・高校）",="0.164",="(4.71)"
="10._at # 短大・高専・専門",="0.117",="(4.91)"
="10._at # 四大以上",="0.0189",="(1.05)"
="11._at # 本人学歴（ref:中学・高校）",="0.166",="(4.43)"
="11._at # 短大・高専・専門",="0.122",="(4.33)"
="11._at # 四大以上",="0.0343",="(1.43)"
="12._at # 本人学歴（ref:中学・高校）",="0.159",="(3.94)"
="12._at # 短大・高専・専門",="0.127",="(3.71)"
="12._at # 四大以上",="0.0543",="(1.62)"
="13._at # 本人学歴（ref:中学・高校）",="0.145",="(3.24)"
="13._at # 短大・高専・専門",="0.130",="(3.20)"
="13._at # 四大以上",="0.0752",="(1.59)"
="14._at # 本人学歴（ref:中学・高校）",="0.125",="(2.50)"
="14._at # 短大・高専・専門",="0.133",="(2.79)"
="14._at # 四大以上",="0.0916",="(1.51)"
="15._at # 本人学歴（ref:中学・高校）",="0.102",="(1.88)"
="15._at # 短大・高専・専門",="0.136",="(2.44)"
="15._at # 四大以上",="0.0986",="(1.40)"
="16._at # 本人学歴（ref:中学・高校）",="0.0781",="(1.41)"
="16._at # 短大・高専・専門",="0.137",="(2.13)"
="16._at # 四大以上",="0.0941",="(1.21)"
="17._at # 本人学歴（ref:中学・高校）",="0.0565",="(1.08)"
="17._at # 短大・高専・専門",="0.138",="(1.86)"
="17._at # 四大以上",="0.0794",="(0.95)"
="18._at # 本人学歴（ref:中学・高校）",="0.0384",="(0.84)"
="18._at # 短大・高専・専門",="0.138",="(1.62)"
="18._at # 四大以上",="0.0588",="(0.70)"
="19._at # 本人学歴（ref:中学・高校）",="0.0245",="(0.67)"
="19._at # 短大・高専・専門",="0.137",="(1.40)"
="19._at # 四大以上",="0.0380",="(0.51)"
="20._at # 本人学歴（ref:中学・高校）",="0.0147",="(0.55)"
="20._at # 短大・高専・専門",="0.135",="(1.22)"
="20._at # 四大以上",="0.0213",="(0.38)"
="21._at # 本人学歴（ref:中学・高校）",="0.00834",="(0.46)"
="21._at # 短大・高専・専門",="0.133",="(1.05)"
="21._at # 四大以上",="0.0103",="(0.29)"
="22._at # 本人学歴（ref:中学・高校）",="0.00445",="(0.39)"
="22._at # 短大・高専・専門",="0.129",="(0.91)"
="22._at # 四大以上",="0.00435",="(0.23)"
="23._at # 本人学歴（ref:中学・高校）",="0.00224",="(0.33)"
="23._at # 短大・高専・専門",="0.125",="(0.79)"
="23._at # 四大以上",="0.00159",="(0.18)"
="24._at # 本人学歴（ref:中学・高校）",="0.00106",="(0.29)"
="24._at # 短大・高専・専門",="0.120",="(0.69)"
="24._at # 四大以上",="0.000505",="(0.15)"
="25._at # 本人学歴（ref:中学・高校）",="0.000477",="(0.25)"
="25._at # 短大・高専・専門",="0.115",="(0.60)"
="25._at # 四大以上",="0.000140",="(0.12)"
="Observations",="668",=""
="R-squared",="",=""
="t statistics in parentheses"
