="",="(1)",=""
="",="marev",=""
="1._at # 本人学歴（ref:中学・高校）",="0.0116",="(4.26)"
="1._at # 短大・高専・専門",="0.00273",="(2.57)"
="1._at # 四大以上",="0.000744",="(1.22)"
="2._at # 本人学歴（ref:中学・高校）",="0.0197",="(5.39)"
="2._at # 短大・高専・専門",="0.00567",="(3.17)"
="2._at # 四大以上",="0.00185",="(1.48)"
="3._at # 本人学歴（ref:中学・高校）",="0.0319",="(6.97)"
="3._at # 短大・高専・専門",="0.0110",="(4.00)"
="3._at # 四大以上",="0.00425",="(1.83)"
="4._at # 本人学歴（ref:中学・高校）",="0.0489",="(9.09)"
="4._at # 短大・高専・専門",="0.0202",="(5.18)"
="4._at # 四大以上",="0.00910",="(2.31)"
="5._at # 本人学歴（ref:中学・高校）",="0.0709",="(11.51)"
="5._at # 短大・高専・専門",="0.0345",="(6.85)"
="5._at # 四大以上",="0.0180",="(3.00)"
="6._at # 本人学歴（ref:中学・高校）",="0.0973",="(13.38)"
="6._at # 短大・高専・専門",="0.0551",="(9.05)"
="6._at # 四大以上",="0.0330",="(4.00)"
="7._at # 本人学歴（ref:中学・高校）",="0.127",="(13.93)"
="7._at # 短大・高専・専門",="0.0821",="(11.23)"
="7._at # 四大以上",="0.0556",="(5.37)"
="8._at # 本人学歴（ref:中学・高校）",="0.157",="(13.47)"
="8._at # 短大・高専・専門",="0.114",="(12.27)"
="8._at # 四大以上",="0.0865",="(6.92)"
="9._at # 本人学歴（ref:中学・高校）",="0.185",="(12.70)"
="9._at # 短大・高専・専門",="0.149",="(11.99)"
="9._at # 四大以上",="0.124",="(7.96)"
="10._at # 本人学歴（ref:中学・高校）",="0.210",="(11.92)"
="10._at # 短大・高専・専門",="0.183",="(11.22)"
="10._at # 四大以上",="0.164",="(8.13)"
="11._at # 本人学歴（ref:中学・高校）",="0.228",="(11.15)"
="11._at # 短大・高専・専門",="0.212",="(10.44)"
="11._at # 四大以上",="0.202",="(7.85)"
="12._at # 本人学歴（ref:中学・高校）",="0.238",="(10.32)"
="12._at # 短大・高専・専門",="0.234",="(9.72)"
="12._at # 四大以上",="0.234",="(7.49)"
="13._at # 本人学歴（ref:中学・高校）",="0.240",="(9.36)"
="13._at # 短大・高専・専門",="0.245",="(8.98)"
="13._at # 四大以上",="0.255",="(7.10)"
="14._at # 本人学歴（ref:中学・高校）",="0.233",="(8.28)"
="14._at # 短大・高専・専門",="0.246",="(8.16)"
="14._at # 四大以上",="0.264",="(6.63)"
="15._at # 本人学歴（ref:中学・高校）",="0.219",="(7.12)"
="15._at # 短大・高専・専門",="0.237",="(7.23)"
="15._at # 四大以上",="0.259",="(6.00)"
="16._at # 本人学歴（ref:中学・高校）",="0.197",="(5.99)"
="16._at # 短大・高専・専門",="0.217",="(6.22)"
="16._at # 四大以上",="0.241",="(5.21)"
="17._at # 本人学歴（ref:中学・高校）",="0.170",="(4.96)"
="17._at # 短大・高専・専門",="0.189",="(5.22)"
="17._at # 四大以上",="0.212",="(4.33)"
="18._at # 本人学歴（ref:中学・高校）",="0.140",="(4.08)"
="18._at # 短大・高専・専門",="0.156",="(4.30)"
="18._at # 四大以上",="0.175",="(3.48)"
="19._at # 本人学歴（ref:中学・高校）",="0.110",="(3.36)"
="19._at # 短大・高専・専門",="0.121",="(3.51)"
="19._at # 四大以上",="0.134",="(2.76)"
="20._at # 本人学歴（ref:中学・高校）",="0.0823",="(2.79)"
="20._at # 短大・高専・専門",="0.0880",="(2.88)"
="20._at # 四大以上",="0.0958",="(2.18)"
="21._at # 本人学歴（ref:中学・高校）",="0.0582",="(2.34)"
="21._at # 短大・高専・専門",="0.0599",="(2.38)"
="21._at # 四大以上",="0.0630",="(1.75)"
="22._at # 本人学歴（ref:中学・高校）",="0.0389",="(1.98)"
="22._at # 短大・高専・専門",="0.0380",="(2.00)"
="22._at # 四大以上",="0.0382",="(1.42)"
="23._at # 本人学歴（ref:中学・高校）",="0.0247",="(1.70)"
="23._at # 短大・高専・専門",="0.0225",="(1.70)"
="23._at # 四大以上",="0.0213",="(1.18)"
="24._at # 本人学歴（ref:中学・高校）",="0.0148",="(1.48)"
="24._at # 短大・高専・専門",="0.0125",="(1.46)"
="24._at # 四大以上",="0.0110",="(1.00)"
="25._at # 本人学歴（ref:中学・高校）",="0.00845",="(1.30)"
="25._at # 短大・高専・専門",="0.00649",="(1.27)"
="25._at # 四大以上",="0.00524",="(0.86)"
="Observations",="7250",=""
="R-squared",="",=""
="t statistics in parentheses"
