="",="(1)",=""
="",="marevm",=""
="1._at # 本人学歴（ref:中学・高校）",="0.906",="(13.83)"
="1._at # 短大・高専・専門",="0.334",="(1.26)"
="1._at # 四大以上",="0.851",="(3.42)"
="2._at # 本人学歴（ref:中学・高校）",="0.875",="(12.91)"
="2._at # 短大・高専・専門",="0.379",="(1.68)"
="2._at # 四大以上",="0.769",="(2.64)"
="3._at # 本人学歴（ref:中学・高校）",="0.839",="(12.69)"
="3._at # 短大・高専・専門",="0.414",="(2.28)"
="3._at # 四大以上",="0.669",="(2.23)"
="4._at # 本人学歴（ref:中学・高校）",="0.799",="(13.04)"
="4._at # 短大・高専・専門",="0.435",="(3.11)"
="4._at # 四大以上",="0.559",="(2.06)"
="5._at # 本人学歴（ref:中学・高校）",="0.758",="(13.87)"
="5._at # 短大・高専・専門",="0.442",="(4.23)"
="5._at # 四大以上",="0.451",="(2.08)"
="6._at # 本人学歴（ref:中学・高校）",="0.718",="(14.93)"
="6._at # 短大・高専・専門",="0.436",="(5.63)"
="6._at # 四大以上",="0.356",="(2.27)"
="7._at # 本人学歴（ref:中学・高校）",="0.679",="(15.78)"
="7._at # 短大・高専・専門",="0.421",="(7.22)"
="7._at # 四大以上",="0.277",="(2.62)"
="8._at # 本人学歴（ref:中学・高校）",="0.643",="(15.94)"
="8._at # 短大・高専・専門",="0.401",="(8.62)"
="8._at # 四大以上",="0.216",="(3.10)"
="9._at # 本人学歴（ref:中学・高校）",="0.612",="(15.26)"
="9._at # 短大・高専・専門",="0.379",="(9.16)"
="9._at # 四大以上",="0.170",="(3.49)"
="10._at # 本人学歴（ref:中学・高校）",="0.586",="(14.07)"
="10._at # 短大・高専・専門",="0.359",="(8.75)"
="10._at # 四大以上",="0.137",="(3.53)"
="11._at # 本人学歴（ref:中学・高校）",="0.565",="(12.76)"
="11._at # 短大・高専・専門",="0.343",="(7.98)"
="11._at # 四大以上",="0.112",="(3.26)"
="12._at # 本人学歴（ref:中学・高校）",="0.549",="(11.54)"
="12._at # 短大・高専・専門",="0.331",="(7.29)"
="12._at # 四大以上",="0.0945",="(2.92)"
="13._at # 本人学歴（ref:中学・高校）",="0.540",="(10.46)"
="13._at # 短大・高専・専門",="0.324",="(6.75)"
="13._at # 四大以上",="0.0821",="(2.64)"
="14._at # 本人学歴（ref:中学・高校）",="0.536",="(9.51)"
="14._at # 短大・高専・専門",="0.322",="(6.28)"
="14._at # 四大以上",="0.0736",="(2.42)"
="15._at # 本人学歴（ref:中学・高校）",="0.537",="(8.63)"
="15._at # 短大・高専・専門",="0.326",="(5.78)"
="15._at # 四大以上",="0.0682",="(2.24)"
="16._at # 本人学歴（ref:中学・高校）",="0.545",="(7.78)"
="16._at # 短大・高専・専門",="0.334",="(5.18)"
="16._at # 四大以上",="0.0652",="(2.06)"
="17._at # 本人学歴（ref:中学・高校）",="0.558",="(6.95)"
="17._at # 短大・高専・専門",="0.346",="(4.51)"
="17._at # 四大以上",="0.0645",="(1.87)"
="18._at # 本人学歴（ref:中学・高校）",="0.578",="(6.18)"
="18._at # 短大・高専・専門",="0.361",="(3.86)"
="18._at # 四大以上",="0.0660",="(1.66)"
="19._at # 本人学歴（ref:中学・高校）",="0.602",="(5.51)"
="19._at # 短大・高専・専門",="0.376",="(3.27)"
="19._at # 四大以上",="0.0698",="(1.44)"
="20._at # 本人学歴（ref:中学・高校）",="0.633",="(4.97)"
="20._at # 短大・高専・専門",="0.389",="(2.74)"
="20._at # 四大以上",="0.0762",="(1.23)"
="21._at # 本人学歴（ref:中学・高校）",="0.668",="(4.58)"
="21._at # 短大・高専・専門",="0.396",="(2.26)"
="21._at # 四大以上",="0.0859",="(1.05)"
="22._at # 本人学歴（ref:中学・高校）",="0.706",="(4.34)"
="22._at # 短大・高専・専門",="0.393",="(1.83)"
="22._at # 四大以上",="0.0997",="(0.89)"
="23._at # 本人学歴（ref:中学・高校）",="0.747",="(4.25)"
="23._at # 短大・高専・専門",="0.376",="(1.44)"
="23._at # 四大以上",="0.119",="(0.77)"
="24._at # 本人学歴（ref:中学・高校）",="0.789",="(4.33)"
="24._at # 短大・高専・専門",="0.346",="(1.13)"
="24._at # 四大以上",="0.146",="(0.68)"
="25._at # 本人学歴（ref:中学・高校）",="0.829",="(4.59)"
="25._at # 短大・高専・専門",="0.305",="(0.88)"
="25._at # 四大以上",="0.182",="(0.61)"
="Observations",="662",=""
="R-squared",="",=""
="t statistics in parentheses"
