="",="(1)",=""
="",="marevm",=""
="1._at # 本人学歴（ref:中学・高校）",="0.00523",="(0.81)"
="1._at # 短大・高専・専門",="0.0352",="(0.85)"
="1._at # 四大以上",="8.13e-08",="(0.10)"
="2._at # 本人学歴（ref:中学・高校）",="0.0104",="(1.03)"
="2._at # 短大・高専・専門",="0.0429",="(1.03)"
="2._at # 四大以上",="0.000000581",="(0.12)"
="3._at # 本人学歴（ref:中学・高校）",="0.0192",="(1.36)"
="3._at # 短大・高専・専門",="0.0515",="(1.26)"
="3._at # 四大以上",="0.00000359",="(0.14)"
="4._at # 本人学歴（ref:中学・高校）",="0.0328",="(1.85)"
="4._at # 短大・高専・専門",="0.0611",="(1.58)"
="4._at # 四大以上",="0.0000193",="(0.17)"
="5._at # 本人学歴（ref:中学・高校）",="0.0520",="(2.59)"
="5._at # 短大・高専・専門",="0.0715",="(2.03)"
="5._at # 四大以上",="0.0000895",="(0.22)"
="6._at # 本人学歴（ref:中学・高校）",="0.0766",="(3.63)"
="6._at # 短大・高専・専門",="0.0826",="(2.68)"
="6._at # 四大以上",="0.000360",="(0.28)"
="7._at # 本人学歴（ref:中学・高校）",="0.105",="(4.68)"
="7._at # 短大・高専・専門",="0.0942",="(3.56)"
="7._at # 四大以上",="0.00125",="(0.37)"
="8._at # 本人学歴（ref:中学・高校）",="0.133",="(5.20)"
="8._at # 短大・高専・専門",="0.106",="(4.58)"
="8._at # 四大以上",="0.00376",="(0.50)"
="9._at # 本人学歴（ref:中学・高校）",="0.159",="(5.21)"
="9._at # 短大・高専・専門",="0.118",="(5.26)"
="9._at # 四大以上",="0.00976",="(0.72)"
="10._at # 本人学歴（ref:中学・高校）",="0.178",="(5.08)"
="10._at # 短大・高専・専門",="0.130",="(5.21)"
="10._at # 四大以上",="0.0218",="(1.06)"
="11._at # 本人学歴（ref:中学・高校）",="0.189",="(4.92)"
="11._at # 短大・高専・専門",="0.141",="(4.77)"
="11._at # 四大以上",="0.0416",="(1.47)"
="12._at # 本人学歴（ref:中学・高校）",="0.190",="(4.59)"
="12._at # 短大・高専・専門",="0.151",="(4.33)"
="12._at # 四大以上",="0.0683",="(1.70)"
="13._at # 本人学歴（ref:中学・高校）",="0.180",="(3.97)"
="13._at # 短大・高専・専門",="0.161",="(3.99)"
="13._at # 四大以上",="0.0967",="(1.73)"
="14._at # 本人学歴（ref:中学・高校）",="0.162",="(3.14)"
="14._at # 短大・高専・専門",="0.169",="(3.74)"
="14._at # 四大以上",="0.119",="(1.71)"
="15._at # 本人学歴（ref:中学・高校）",="0.137",="(2.35)"
="15._at # 短大・高専・専門",="0.175",="(3.55)"
="15._at # 四大以上",="0.129",="(1.63)"
="16._at # 本人学歴（ref:中学・高校）",="0.109",="(1.73)"
="16._at # 短大・高専・専門",="0.181",="(3.38)"
="16._at # 四大以上",="0.123",="(1.41)"
="17._at # 本人学歴（ref:中学・高校）",="0.0808",="(1.29)"
="17._at # 短大・高専・専門",="0.184",="(3.19)"
="17._at # 四大以上",="0.103",="(1.05)"
="18._at # 本人学歴（ref:中学・高校）",="0.0560",="(0.99)"
="18._at # 短大・高専・専門",="0.186",="(2.95)"
="18._at # 四大以上",="0.0756",="(0.74)"
="19._at # 本人学歴（ref:中学・高校）",="0.0362",="(0.78)"
="19._at # 短大・高専・専門",="0.186",="(2.66)"
="19._at # 四大以上",="0.0478",="(0.51)"
="20._at # 本人学歴（ref:中学・高校）",="0.0218",="(0.63)"
="20._at # 短大・高専・専門",="0.184",="(2.33)"
="20._at # 四大以上",="0.0259",="(0.37)"
="21._at # 本人学歴（ref:中学・高校）",="0.0122",="(0.52)"
="21._at # 短大・高専・専門",="0.180",="(2.00)"
="21._at # 四大以上",="0.0120",="(0.28)"
="22._at # 本人学歴（ref:中学・高校）",="0.00642",="(0.43)"
="22._at # 短大・高専・専門",="0.175",="(1.69)"
="22._at # 四大以上",="0.00477",="(0.22)"
="23._at # 本人学歴（ref:中学・高校）",="0.00316",="(0.37)"
="23._at # 短大・高専・専門",="0.168",="(1.43)"
="23._at # 四大以上",="0.00163",="(0.17)"
="24._at # 本人学歴（ref:中学・高校）",="0.00146",="(0.32)"
="24._at # 短大・高専・専門",="0.160",="(1.20)"
="24._at # 四大以上",="0.000481",="(0.14)"
="25._at # 本人学歴（ref:中学・高校）",="0.000630",="(0.28)"
="25._at # 短大・高専・専門",="0.150",="(1.02)"
="25._at # 四大以上",="0.000122",="(0.12)"
="Observations",="668",=""
="R-squared",="",=""
="t statistics in parentheses"
