="",="(1)",=""
="",="marev",=""
="1._at # 本人学歴（ref:中学・高校）",="0.0362",="(4.30)"
="1._at # 短大・高専・専門",="0.00466",="(2.37)"
="1._at # 四大以上",="0.000888",="(1.37)"
="2._at # 本人学歴（ref:中学・高校）",="0.0438",="(5.48)"
="2._at # 短大・高専・専門",="0.00772",="(2.91)"
="2._at # 四大以上",="0.00194",="(1.66)"
="3._at # 本人学歴（ref:中学・高校）",="0.0519",="(7.02)"
="3._at # 短大・高専・専門",="0.0123",="(3.64)"
="3._at # 四大以上",="0.00399",="(2.04)"
="4._at # 本人学歴（ref:中学・高校）",="0.0604",="(8.79)"
="4._at # 短大・高専・専門",="0.0187",="(4.66)"
="4._at # 四大以上",="0.00767",="(2.58)"
="5._at # 本人学歴（ref:中学・高校）",="0.0688",="(10.25)"
="5._at # 短大・高専・専門",="0.0274",="(6.04)"
="5._at # 四大以上",="0.0138",="(3.33)"
="6._at # 本人学歴（ref:中学・高校）",="0.0769",="(10.81)"
="6._at # 短大・高専・専門",="0.0384",="(7.77)"
="6._at # 四大以上",="0.0232",="(4.40)"
="7._at # 本人学歴（ref:中学・高校）",="0.0844",="(10.56)"
="7._at # 短大・高専・専門",="0.0516",="(9.49)"
="7._at # 四大以上",="0.0365",="(5.86)"
="8._at # 本人学歴（ref:中学・高校）",="0.0909",="(10.03)"
="8._at # 短大・高専・専門",="0.0664",="(10.55)"
="8._at # 四大以上",="0.0537",="(7.54)"
="9._at # 本人学歴（ref:中学・高校）",="0.0962",="(9.55)"
="9._at # 短大・高専・専門",="0.0821",="(10.73)"
="9._at # 四大以上",="0.0738",="(8.85)"
="10._at # 本人学歴（ref:中学・高校）",="0.100",="(9.22)"
="10._at # 短大・高専・専門",="0.0976",="(10.46)"
="10._at # 四大以上",="0.0950",="(9.33)"
="11._at # 本人学歴（ref:中学・高校）",="0.102",="(9.02)"
="11._at # 短大・高専・専門",="0.112",="(10.17)"
="11._at # 四大以上",="0.115",="(9.28)"
="12._at # 本人学歴（ref:中学・高校）",="0.103",="(8.86)"
="12._at # 短大・高専・専門",="0.123",="(9.99)"
="12._at # 四大以上",="0.131",="(9.13)"
="13._at # 本人学歴（ref:中学・高校）",="0.101",="(8.63)"
="13._at # 短大・高専・専門",="0.131",="(9.87)"
="13._at # 四大以上",="0.141",="(8.99)"
="14._at # 本人学歴（ref:中学・高校）",="0.0983",="(8.16)"
="14._at # 短大・高専・専門",="0.134",="(9.67)"
="14._at # 四大以上",="0.145",="(8.75)"
="15._at # 本人学歴（ref:中学・高校）",="0.0937",="(7.38)"
="15._at # 短大・高専・専門",="0.134",="(9.15)"
="15._at # 四大以上",="0.140",="(8.16)"
="16._at # 本人学歴（ref:中学・高校）",="0.0878",="(6.38)"
="16._at # 短大・高専・専門",="0.128",="(8.19)"
="16._at # 四大以上",="0.129",="(7.08)"
="17._at # 本人学歴（ref:中学・高校）",="0.0807",="(5.34)"
="17._at # 短大・高専・専門",="0.119",="(6.92)"
="17._at # 四大以上",="0.111",="(5.71)"
="18._at # 本人学歴（ref:中学・高校）",="0.0729",="(4.39)"
="18._at # 短大・高専・専門",="0.106",="(5.61)"
="18._at # 四大以上",="0.0911",="(4.43)"
="19._at # 本人学歴（ref:中学・高校）",="0.0646",="(3.61)"
="19._at # 短大・高専・専門",="0.0917",="(4.47)"
="19._at # 四大以上",="0.0699",="(3.40)"
="20._at # 本人学歴（ref:中学・高校）",="0.0561",="(2.98)"
="20._at # 短大・高専・専門",="0.0760",="(3.57)"
="20._at # 四大以上",="0.0503",="(2.63)"
="21._at # 本人学歴（ref:中学・高校）",="0.0478",="(2.48)"
="21._at # 短大・高専・専門",="0.0606",="(2.87)"
="21._at # 四大以上",="0.0338",="(2.08)"
="22._at # 本人学歴（ref:中学・高校）",="0.0399",="(2.09)"
="22._at # 短大・高専・専門",="0.0463",="(2.34)"
="22._at # 四大以上",="0.0212",="(1.68)"
="23._at # 本人学歴（ref:中学・高校）",="0.0327",="(1.78)"
="23._at # 短大・高専・専門",="0.0339",="(1.94)"
="23._at # 四大以上",="0.0124",="(1.38)"
="24._at # 本人学歴（ref:中学・高校）",="0.0262",="(1.53)"
="24._at # 短大・高専・専門",="0.0238",="(1.63)"
="24._at # 四大以上",="0.00682",="(1.16)"
="25._at # 本人学歴（ref:中学・高校）",="0.0206",="(1.33)"
="25._at # 短大・高専・専門",="0.0160",="(1.39)"
="25._at # 四大以上",="0.00350",="(0.99)"
="Observations",="7382",=""
="R-squared",="",=""
="t statistics in parentheses"
