="Discrete time logit female"
="",="(1)",="",="(2)",="",="(3)",="",="(4)",="",="(5)",="",="(6)",=""
="",="marev",="",="marevm",="",="marev",="",="marevm",="",="marev",="",="marevm",=""
="main",="",="",="",="",="",="",="",="",="",="",="",=""
="リスク経過年",="0.615***",="(0.063)",="",="",="0.569***",="(0.068)",="",="",="0.201**",="(0.076)",="",=""
="リスク経過年 # リスク経過年",="-0.024***",="(0.003)",="",="",="-0.021***",="(0.003)",="",="",="-0.008*",="(0.004)",="",=""
="本人学歴（ref:中学・高校）",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)"
="短大・高専・専門",="-1.659**",="(0.521)",="",="",="-1.519**",="(0.543)",="",="",="-2.493***",="(0.580)",="",=""
="四大以上",="-3.146**",="(0.992)",="",="",="-2.409**",="(0.792)",="",="",="-4.591***",="(0.916)",="",=""
="初職従業上の地位（ref: 正規雇用）",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)"
="非正規雇用・自営業",="0.076",="(0.147)",="",="",="-0.121",="(0.115)",="",="",="-0.001",="(0.116)",="",=""
="無業",="-0.708***",="(0.145)",="",="",="-0.938***",="(0.154)",="",="",="-0.668***",="(0.156)",="",=""
="15歳時点の生活水準",="0.009",="(0.061)",="",="",="0.046",="(0.056)",="",="",="-0.112†",="(0.058)",="",=""
="前年の親同居（ref: 非同居）",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)"
="同居",="0.027",="(0.091)",="",="",="0.116",="(0.088)",="",="",="-0.046",="(0.100)",="",=""
="父親学歴（ref: 中学校）",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)"
="高等学校",="-0.037",="(0.108)",="",="",="-0.022",="(0.106)",="",="",="0.116",="(0.144)",="",=""
="高等教育",="0.098",="(0.131)",="",="",="-0.078",="(0.134)",="",="",="0.110",="(0.158)",="",=""
="わからない",="0.103",="(0.126)",="",="",="-0.059",="(0.146)",="",="",="-0.179",="(0.205)",="",=""
="未婚異性（中学・高校）",="-0.004",="(0.003)",="",="",="0.002",="(0.003)",="",="",="-0.001",="(0.003)",="",=""
="未婚異性（短大・高専・専門）",="-0.015***",="(0.003)",="",="",="-0.003",="(0.007)",="",="",="0.002",="(0.010)",="",=""
="未婚異性（四大以上）",="0.011**",="(0.004)",="",="",="-0.006",="(0.006)",="",="",="0.005",="(0.010)",="",=""
="短大・高専・専門 # リスク経過年",="0.210*",="(0.100)",="",="",="0.216*",="(0.097)",="",="",="0.353**",="(0.111)",="",=""
="四大以上 # リスク経過年",="0.402*",="(0.171)",="",="",="0.274*",="(0.126)",="",="",="0.688***",="(0.160)",="",=""
